,A5967,A5980,A6001
Nitab11g017810.1,24.73083076863237,24.396103436911186,20.121879450619623
Nitab11g017820.1,7.10607586724767,6.048018474503074,5.502823635515881
Nitab11g017830.1,19.645415400022298,13.066716858334482,13.517750550174334
Nitab11g017910.1,8.394892952817004,8.095414795670427,3.8040864194821697
Nitab11g017930.1,9.196277473016211,8.979722031735992,8.051446374081191
Nitab11g017970.1,5.802947035162039,6.127917627239188,5.97159554378899
Nitab11g018020.1,5.001337311422947,6.821541867379438,11.356731522962091
Nitab11g018030.1,3.739810750986395,5.035032388995614,7.377661917564885
Nitab11g018040.1,107.02415329273666,118.73345140943907,93.21090044214668
Nitab11g018050.1,28.419420092468652,26.472046330127196,31.72803890707642
Nitab11g018060.1,9.021073723484712,8.505881063171833,9.055098172032462
Nitab11g018080.1,119.56718550390032,131.92613252798841,114.54007265371622
Nitab11g018090.1,37.22933718391702,39.562339559618465,40.96031771230252
Nitab11g018110.1,14.754640224619793,14.302607760212656,16.24201341514051
Nitab11g018120.1,12.970616091315113,10.326102130732464,7.4662226182939815
Nitab11g018130.1,5.958880159586799,8.138055022741176,4.869577443436364
Nitab11g018160.1,12.495894605092227,13.949715338594098,11.382890023988143
Nitab11g018210.1,28.522017276917968,32.195545565932335,31.842580563780633
Nitab11g018220.1,6.589551468789346,7.550896927144306,8.046659652474117
Nitab11g018230.1,32.86566431953347,34.34348481119736,33.162832031057825
Nitab11g018240.1,12.1186031013153,16.36345868008406,14.637589314144872
Nitab11g018260.1,13.183584337441841,11.531226699742009,11.18957322349368
Nitab11g018270.1,16.930722532910575,16.016821339373664,35.110786771575
Nitab11g018280.1,38.473736361963084,37.582463845383444,38.03308991146155
Nitab11g018290.1,9.590394928123889,11.270660310132785,8.558296971417565
Nitab11g018300.1,7.2032822576087785,6.00630800226514,5.060940889026429
Nitab11g018310.1,9.13168740347372,8.997295275506525,8.104666780832646
Nitab11g018320.1,12.961029531011095,15.306606297020679,36.26839265326351
Nitab11g018330.1,21.15036754188681,21.85858645509381,21.698755184941177
Nitab11g018350.1,8.878909669493996,9.336500384029518,8.810633764183589
